"RATING_ID","USER_MD5","MOVIE_ID","RATING","RATING_TIME"
"1359352573","0ab7e3efacd56983f16503572d2b9915","5113101","2","2018-09-05 19:42:07"
"1598245094","84dfd3f91dd85ea105bc74a4f0d7a067","5113101","1","2019-07-09 14:52:07"
"311937819","c9a47fd59b55967ceac07cac6d5f270c","3718526","3","2010-11-05 22:15:44"
"457663846","18cbf971bdf17336056674bb8fad7ea2","3718526","4","2011-11-14 22:31:02"
"313277849","47e69de0d68e6a4db159bc29301caece","3718526","4","2010-11-09 12:41:11"
"798211658","86dd268419a02513163814b3650e4cac","10514820","3","2014-04-19 01:30:48"
"582827065","93ce30280bf1b116041a721906a2f64f","10514820","3","2012-09-22 12:52:36"
"247354289","946c40119cf6ac3f9a9e6e645a0fe23e","4824996","4","2010-05-04 13:02:36"
"560603476","c98155000a3420758910ac19414b7118","4824996","5","2012-07-25 22:03:32"
"345508641","bd3ba3fc3a4f3c925ef3dfe1b8ecec38","4824996","5","2011-01-26 17:18:50"
"919041772","e4e41a7765b5fe37bd096aeef97cb113","10514820","2","2015-05-04 17:23:24"
"665120053","7a48f067cb5c3ef981fd9d43c6fcd3f7","10514820","1","2013-04-10 00:42:31"
"668385831","5c4a77c60e97a1dd0845fbfd17f58411","10514820","4","2013-04-17 12:19:50"
"1210679231","b3e4ac4a79a0b996d5fb65c23acf4690","10514820","1","2017-07-03 22:44:31"
"839010140","61c3fef0c1734144b70a66a761706a0a","10514820","3","2014-08-23 11:03:09"
"397264579","1ab2413c7fc9c8dded02b4639a9b185b","4824996","5","2011-05-31 02:40:45"
"269452462","05305f812f7fb658be6543f5f7867e7c","4824996","5","2010-07-11 12:09:08"
"266767555","f70064710785fe85f4248a76343b8fbf","4824996","5","2010-07-03 13:20:46"
"409235560","1d0010c5c5690b5ed9c94b1c5bf483ac","4824996","5","2011-07-01 17:28:36"
"456999211","e7b5be1c1545909c84aa14e0c7773f73","4824996","4","2011-11-13 10:41:25"
"248788917","c7977c97baf4508029fa9279a0d5a7a8","4824996","5","2010-05-08 21:04:38"
"1477368922","997fe40fd5f6ff278adc89fb9e751f63","10514820","2","2018-09-26 10:53:08"
"960919180","8eedd8be6187629b846b6d129ee655a0","10514820","1","2015-09-21 21:21:43"
"621743618","0698e877c92e177d682d470b4f9bbf84","10514820","4","2012-12-27 22:20:55"
"309605771","7f1a11e321a4c243aba4a75ced02ed96","4824996","5","2010-10-30 11:13:32"
"248606500","6bc5e44fef84ceca6167a9ada2ec70e6","4824996","5","2010-05-08 12:24:58"
"265211296","1594430dbf95b0e4df18f1c703222ee7","4824996","4","2010-06-28 16:43:44"
